TIC_ID,Sector,p_r
2.770094840000000000e+08,1.500000000000000000e+01,6.077549999999999564e+00
2.770094840000000000e+08,1.600000000000000000e+01,6.077549999999999564e+00
3.722607070000000000e+08,1.600000000000000000e+01,1.898610000000000042e+01
3.722607070000000000e+08,1.700000000000000000e+01,1.898610000000000042e+01
3.722607070000000000e+08,1.800000000000000000e+01,1.898610000000000042e+01
3.722607070000000000e+08,2.400000000000000000e+01,1.898610000000000042e+01
3.722607070000000000e+08,2.500000000000000000e+01,1.898610000000000042e+01
2.000664140000000000e+08,1.600000000000000000e+01,9.025189999999999602e-01
4.694656270000000000e+08,1.500000000000000000e+01,1.054159999999999986e+00
4.694656270000000000e+08,1.600000000000000000e+01,1.054159999999999986e+00
6.243171400000000000e+07,1.500000000000000000e+01,4.737759999999999749e+00
6.243171400000000000e+07,1.600000000000000000e+01,4.737759999999999749e+00
1.383758820000000000e+08,1.500000000000000000e+01,5.395780000000000243e+00
1.383758820000000000e+08,1.600000000000000000e+01,5.395780000000000243e+00
4.695838520000000000e+08,1.600000000000000000e+01,1.207959999999999923e+00
4.695838520000000000e+08,1.700000000000000000e+01,1.207959999999999923e+00
3.370006820000000000e+08,1.600000000000000000e+01,2.644099999999999895e+01
3.370006820000000000e+08,1.700000000000000000e+01,2.644099999999999895e+01
3.370006820000000000e+08,1.800000000000000000e+01,2.644099999999999895e+01
3.370006820000000000e+08,2.400000000000000000e+01,2.644099999999999895e+01
3.255296090000000000e+08,1.600000000000000000e+01,5.383750000000000480e-01
1.999448530000000000e+08,1.600000000000000000e+01,5.492059999999999720e-01
4.033323270000000000e+08,1.500000000000000000e+01,1.525789999999999935e+01
4.033323270000000000e+08,1.600000000000000000e+01,1.525789999999999935e+01
4.033323270000000000e+08,1.700000000000000000e+01,1.525789999999999935e+01
4.033323270000000000e+08,1.800000000000000000e+01,1.525789999999999935e+01
4.033323270000000000e+08,1.900000000000000000e+01,1.525789999999999935e+01
4.033323270000000000e+08,2.100000000000000000e+01,1.525789999999999935e+01
4.033323270000000000e+08,2.200000000000000000e+01,1.525789999999999935e+01
4.033323270000000000e+08,2.400000000000000000e+01,1.525789999999999935e+01
4.033323270000000000e+08,2.500000000000000000e+01,1.525789999999999935e+01
3.529124180000000000e+08,1.500000000000000000e+01,6.927029999999999577e-01
3.529124180000000000e+08,1.700000000000000000e+01,6.927029999999999577e-01
